#delay;msgtype;kwargs
4.039000;STATE;{"name": "STUDY_PAIR", "listno": 3, "cue_pos": "word2", "value": false, "serialpos": 1, "word1": "TEETH", "word2": "FACE", "phase_type": "BASELINE"}
0.002000;STATE;{"phase_type": "BASELINE", "name": "ORIENT", "value": true}
1.048000;STATE;{"phase_type": "BASELINE", "name": "ORIENT", "value": false}
0.656000;STATE;{"name": "STUDY_PAIR", "listno": 3, "cue_pos": "word2", "value": true, "serialpos": 2, "word1": "CLOUD", "word2": "FOAM", "phase_type": "BASELINE"}
4.028000;STATE;{"name": "STUDY_PAIR", "listno": 3, "cue_pos": "word2", "value": false, "serialpos": 2, "word1": "CLOUD", "word2": "FOAM", "phase_type": "BASELINE"}
0.002000;STATE;{"phase_type": "BASELINE", "name": "ORIENT", "value": true}
1.215000;STATE;{"phase_type": "BASELINE", "name": "ORIENT", "value": false}
0.730000;STATE;{"name": "STUDY_PAIR", "listno": 3, "cue_pos": "word1", "value": true, "serialpos": 3, "word1": "TENT", "word2": "HOOK", "phase_type": "BASELINE"}
4.037000;STATE;{"name": "STUDY_PAIR", "listno": 3, "cue_pos": "word1", "value": false, "serialpos": 3, "word1": "TENT", "word2": "HOOK", "phase_type": "BASELINE"}
0.002000;STATE;{"phase_type": "BASELINE", "name": "ORIENT", "value": true}
1.265000;STATE;{"phase_type": "BASELINE", "name": "ORIENT", "value": false}
0.746000;STATE;{"name": "STUDY_PAIR", "listno": 3, "cue_pos": "word1", "value": true, "serialpos": 4, "word1": "SLEEVE", "word2": "ROPE", "phase_type": "BASELINE"}
4.039000;STATE;{"name": "STUDY_PAIR", "listno": 3, "cue_pos": "word1", "value": false, "serialpos": 4, "word1": "SLEEVE", "word2": "ROPE", "phase_type": "BASELINE"}
0.001000;STATE;{"phase_type": "BASELINE", "name": "ORIENT", "value": true}
1.048000;STATE;{"phase_type": "BASELINE", "name": "ORIENT", "value": false}
0.580000;STATE;{"name": "STUDY_PAIR", "listno": 3, "cue_pos": "word1", "value": true, "serialpos": 5, "word1": "NAIL", "word2": "PLANT", "phase_type": "BASELINE"}
4.039000;STATE;{"name": "STUDY_PAIR", "listno": 3, "cue_pos": "word1", "value": false, "serialpos": 5, "word1": "NAIL", "word2": "PLANT", "phase_type": "BASELINE"}
0.010000;STATE;{"phase_type": "BASELINE", "name": "ENCODING", "value": false}
0.010000;STATE;{"phase_type": "BASELINE", "name": "DISTRACT", "value": true}
22.019000;STATE;{"phase_type": "BASELINE", "name": "DISTRACT", "value": false}
0.557000;STATE;{"phase_type": "BASELINE", "name": "ORIENT", "value": true}
1.177000;STATE;{"phase_type": "BASELINE", "name": "ORIENT", "value": false}
0.010000;STATE;{"phase_type": "BASELINE", "name": "RETRIEVAL", "value": true}
0.625000;STATE;{"direction": 0, "name": "REC", "probe": "SLEEVE", "value": true, "serialpos": 4, "expecting": "ROPE"}
0.010000;STATE;{"direction": 0, "name": "PROBE", "probe": "SLEEVE", "value": true, "serialpos": 4, "expecting": "ROPE"}
4.040000;STATE;{"direction": 0, "name": "PROBE", "probe": "SLEEVE", "value": false, "serialpos": 4, "expecting": "ROPE"}
0.999000;STATE;{"direction": 0, "name": "REC", "probe": "SLEEVE", "value": false, "serialpos": 4, "expecting": "ROPE"}
0.528000;STATE;{"direction": 0, "name": "REC", "probe": "NAIL", "value": true, "serialpos": 5, "expecting": "PLANT"}
0.010000;STATE;{"direction": 0, "name": "PROBE", "probe": "NAIL", "value": true, "serialpos": 5, "expecting": "PLANT"}
4.041000;STATE;{"direction": 0, "name": "PROBE", "probe": "NAIL", "value": false, "serialpos": 5, "expecting": "PLANT"}
1.000000;STATE;{"direction": 0, "name": "REC", "probe": "NAIL", "value": false, "serialpos": 5, "expecting": "PLANT"}
0.729000;STATE;{"direction": 1, "name": "REC", "probe": "FOAM", "value": true, "serialpos": 2, "expecting": "CLOUD"}
0.010000;STATE;{"direction": 1, "name": "PROBE", "probe": "FOAM", "value": true, "serialpos": 2, "expecting": "CLOUD"}
4.039000;STATE;{"direction": 1, "name": "PROBE", "probe": "FOAM", "value": false, "serialpos": 2, "expecting": "CLOUD"}
